Station Name,State,District,Temperature_01,Temperature_02,Temperature_03,Temperature_04,Temperature_05,Temperature_06,Temperature_07,Temperature_08,Temperature_09,Temperature_10,Temperature_11,Temperature_12
BADARWAH,Jammu & Kashmir,DODA,8.23,8.52,16.07,25.34,25.06,28.43,29.04,27.8,29.67,23.1,15.31,11.42
SRINAGAR,Jammu & Kashmir,SRINAGAR,5.48,8.07,14.19,22.56,23.39,26.42,30.29,29.5,29.92,22.24,10.8,7.31
SHAHJAHANPUR,Uttar Pradesh,SHAHJAHANPUR,21.51,22.24,29.04,36.4,39.88,38.68,33.51,33.44,32.31,31.35,28.33,18.71
AHMEDABAD (A),Gujarat,AHMEDABAD,27.95,29.96,34.65,41.12,41.65,39.27,36.74,31.56,32.3,33.52,32.13,27.69
DAVANAGERE PTO,Karnataka,DAVANAGERE,30.21,33.25,36.68,37.73,36.87,32.78,28.45,27.53,27.64,27.1,29.42,29.21
PUNE,Maharashtra,PUNE,30.25,32.68,36.42,39.55,38.41,34.09,28.55,27.99,28.17,29.98,29.99,29.32
HARNAI,Maharashtra,RATNAGIRI,29.63,28.57,29.65,32.41,32.7,32.62,30.51,30.21,32.62,31.87,33.08,32.1
TIRUCHIRAPALLI (A),Tamil Nadu,TIRUCHIRAPALLI,31.25,34.58,37.59,39.3,40.99,39.64,38.14,36.62,35.48,33.18,32.28,29.78
KALINGAPATNAM,Andhra Pradesh,SRIKAKULAM,27.02,30.09,32.27,33.6,33.22,33.44,31.91,31.39,30.67,31.16,30.64,28.02
PALAKKAD (PALGHAT),Kerala,PALAKKAD,32.11,35.31,38.14,38.82,36.97,32.99,29.96,28.95,31.02,32.62,31.98,30.69
THIRUVANATHAPURAM (TRIVANDRUM),Kerala,THIRUVANATHA PURAM,33.3,34.6,35.3,35.81,34.53,32.07,31.32,30.9,31.0,31.44,33.09,32.73
KUKERNAG,Jammu & Kashmir,ANATNAG,3.7,6.34,12.25,21.52,21.6,24.54,27.7,27.24,27.82,20.06,8.31,6.16
BHADRACHALAM (KOTHAGUDEM),Telangana,B.KOTHAGUDEM,29.14,32.76,36.9,40.66,43.19,40.4,35.09,33.26,31.85,32.51,32.55,30.91
OKHA,Gujarat,JAMNAGAR,24.64,25.02,27.8,31.09,32.46,33.16,33.06,30.67,31.34,31.95,29.74,26.25
SHIMLA,Himachal Pradesh,SHIMLA,10.7,11.8,15.56,22.7,24.76,27.29,23.4,22.99,23.34,20.89,18.16,14.01
NAJIBABAD,Uttar Pradesh,BIJNORE,21.07,21.81,27.56,35.48,37.76,38.76,32.97,33.14,33.19,31.18,28.18,18.73
NEW KANDLA,Gujarat,KUTCH,28.12,29.54,34.07,37.68,37.58,37.65,36.77,32.78,33.69,33.57,31.46,27.64
FURSATGANJ,Uttar Pradesh,RAIBARELI,22.4,24.03,30.16,38.07,41.87,40.02,34.32,33.25,31.52,30.68,29.1,20.09
