Station Name,State,District,Temperature_01,Temperature_02,Temperature_03,Temperature_04,Temperature_05,Temperature_06,Temperature_07,Temperature_08,Temperature_09,Temperature_10,Temperature_11,Temperature_12
KOTTAYAM,Kerala,KOTTAYAM,19.61,22.29,23.54,23.94,24.81,23.74,23.02,22.45,22.94,22.53,22.79,22.49
MAHUVA,Gujarat,BHAVNAGAR,11.63,14.07,18.66,22.87,24.3,26.51,25.81,24.55,24.86,23.35,20.47,16.71
RENTACHINTALA,Andhra Pradesh,GUNTUR,15.73,19.89,22.71,24.4,27.47,27.0,25.9,24.91,24.21,23.61,22.59,20.11
CUDDALORE,Tamil Nadu,CUDDALORE,20.32,23.02,24.74,26.61,28.13,28.03,26.24,26.09,24.97,24.97,23.9,22.71
SILCHAR,Assam,CACHAR,11.11,13.24,17.41,20.13,22.78,24.84,25.14,26.39,25.67,24.05,19.19,13.94
GUWAHATI / BORJHAR(A),Assam,KAMRUP (METRO),10.29,13.29,16.11,20.8,22.53,25.94,26.01,26.63,25.01,22.23,18.78,12.57
HAMIRPUR,Uttar Pradesh,HAMIRPUR,8.39,12.31,16.51,23.98,27.92,29.45,27.78,26.9,26.6,21.69,16.97,10.16
JAMMU,Jammu & Kashmir,JAMMU,6.65,8.75,12.14,19.51,22.61,26.58,26.02,25.17,24.02,17.61,13.86,7.32
NAGAPATTINAM,Tamil Nadu,NAGAPATTINAM,21.33,23.95,25.12,27.07,28.57,28.53,26.98,26.14,25.35,25.35,24.79,24.08
LUCKNOW/AMAUSI(A),Uttar Pradesh,LUCKNOW,8.95,12.25,15.96,22.7,26.27,28.04,26.51,26.68,25.57,21.15,15.67,9.55
BAREILLY,Uttar Pradesh,BAREILLY,6.83,10.72,14.2,20.5,23.89,26.54,26.17,25.78,24.54,18.44,13.06,7.73
GULMARG,Jammu & Kashmir,BARAMULA,-8.71,-7.49,-4.2,3.12,4.71,7.09,16.37,11.4,10.27,3.13,-2.54,-7.43
KATRA,Jammu & Kashmir,REASI,6.19,7.81,11.21,17.96,20.18,23.6,23.86,22.94,21.75,15.74,12.24,6.26
MEERUT,Uttar Pradesh,MEERUT,7.11,10.38,13.53,19.77,23.25,25.89,25.33,25.09,24.06,21.2,12.8,5.93
FATEHPUR,Uttar Pradesh,FATEHPUR,8.74,11.37,14.86,23.07,27.32,28.87,27.71,26.57,25.97,22.08,17.03,9.8
TUNI,Andhra Pradesh,EAST GODAVARI,18.69,21.28,24.98,26.1,28.72,28.3,26.46,26.64,25.78,25.02,22.84,21.1
ALAPPUZHA (ALLEPPEY),Kerala,ALAPPUZHA,21.63,24.46,25.87,26.97,27.59,25.74,24.62,24.2,24.67,24.05,24.58,24.36
ETAWAH,Uttar Pradesh,ETAWAH,6.19,8.51,12.17,17.34,22.44,28.02,23.97,22.98,23.32,19.51,16.23,10.09
JHANSI,Uttar Pradesh,JHANSI,8.95,12.56,16.29,24.05,28.0,28.73,26.1,25.99,25.45,21.24,17.08,9.49
MAHBOOBNAGAR,Telangana,MAHBOOB NAGAR,16.48,20.89,24.19,26.24,28.84,25.94,24.09,23.55,23.19,22.5,20.82,19.39
BERHAMPORE,West Bengal,MURSHIDABAD,11.97,12.88,19.2,21.27,26.67,26.52,26.64,26.8,26.37,23.15,19.08,12.67
MUMBAI (COLABA),Maharashtra,GREATER MUMBAI,18.83,19.84,22.33,25.55,26.61,26.63,24.78,25.15,23.81,24.47,24.03,22.39
QUAZI GUND,Jammu & Kashmir,ANATNAG,-2.31,-1.1,3.04,8.04,8.86,11.66,17.13,16.33,12.47,6.27,2.6,-4.23
HUT BAY (LITTLE ANDAMAN),Andaman and Nicobar Islands,SOUTH ANDAMAN,23.98,23.57,22.18,24.35,25.41,25.48,25.6,25.34,25.23,28.37,25.97,26.41
