Station Name,State,District,Rain_01,Rain_02,Rain_03,Rain_04,Rain_05,Rain_06,Rain_07,Rain_08,Rain_09,Rain_10,Rain_11,Rain_12
VERAVAL,Gujarat,JUNAGAD,0.0,0.6,0.0,0.0,0.0,180.8,137.1,113.6,403.3,2.3,22.5,10.1
AMRELI,Gujarat,AMRELI,0.0,0.0,0.0,0.0,1.6,93.8,134.6,364.4,296.0,47.2,12.4,0.0
KOTTAYAM,Kerala,KOTTAYAM,0.0,38.0,1.0,62.4,61.0,321.8,503.2,654.4,358.0,500.0,202.0,33.0
DWARKA,Gujarat,JAMNAGAR,2.0,0.0,0.0,0.0,0.0,33.9,128.3,209.2,257.0,10.5,3.0,4.2
DEESA,Gujarat,BANASKANTHA,0.0,1.9,0.0,4.1,1.0,50.3,117.2,215.9,269.7,79.2,40.6,2.2
MAHUVA,Gujarat,BHAVNAGAR,0.0,0.0,0.0,0.0,0.0,124.4,209.6,278.6,442.8,51.2,28.6,0.0
CHINTAMANI,Karnataka,KOLAR,12.8,0.0,0.0,134.8,48.8,217.6,45.7,80.6,133.0,99.0,45.3,11.9
CUDDALORE,Tamil Nadu,CUDDALORE,0.0,0.0,0.0,0.0,2.6,22.9,146.6,218.1,123.2,313.5,456.4,347.1
PALAKKAD (PALGHAT),Kerala,PALAKKAD,0.0,0.0,2.3,76.5,37.4,201.9,410.4,1025.8,641.3,378.0,180.6,5.2
BHADRACHALAM (KOTHAGUDEM),Telangana,B.KOTHAGUDEM,0.0,5.0,0.0,16.8,35.2,49.2,231.2,231.6,227.4,83.2,0.0,6.2
DHARWAD PTO (REG.RES),Karnataka,DHARWAD,0.0,0.0,0.0,54.5,16.2,104.7,230.8,451.2,106.8,318.2,21.0,7.8
TONDI,Tamil Nadu,RAMANATHAPURAM,0.0,0.2,0.0,8.3,0.0,0.0,14.6,68.5,37.0,445.3,174.5,230.7
THIRUVANATHAPURAM (TRIVANDRUM),Kerala,THIRUVANATHA PURAM,0.0,0.6,0.8,82.2,168.5,305.2,158.2,384.7,6.9,302.4,151.9,62.6
KUKERNAG,Jammu & Kashmir,ANATNAG,107.4,183.9,63.3,82.3,95.8,116.3,0.0,82.5,7.6,59.7,267.3,97.5
JAMMU,Jammu & Kashmir,JAMMU,80.5,150.4,39.5,37.8,10.6,10.8,392.7,334.8,187.1,52.4,83.3,115.5
PUNE,Maharashtra,PUNE,0.0,0.0,0.0,0.0,0.0,197.9,376.9,209.4,207.7,235.0,95.0,1.8
JORHAT (PET),Assam,JORHAT,9.3,35.7,76.4,163.6,288.0,325.0,403.3,178.0,327.9,249.1,7.5,1.3
MEDAK,Telangana,MEDAK,28.0,0.0,8.0,0.0,8.0,160.0,268.0,278.0,372.0,143.0,2.0,0.0
ALIGARH,Uttar Pradesh,ALIGARH,19.4,25.4,14.0,32.4,13.8,7.4,127.6,219.0,94.8,3.4,0.6,21.4
HARNAI,Maharashtra,RATNAGIRI,0.0,0.0,0.0,0.0,0.0,610.2,1253.6,681.0,620.6,143.6,0.6,0.0
NADIGAMA,Andhra Pradesh,KRISHNA,60.8,0.0,27.4,93.8,9.0,75.9,122.5,223.4,295.1,165.7,1.0,18.1
GUWAHATI / BORJHAR(A),Assam,KAMRUP (METRO),0.2,13.7,35.3,179.8,332.9,170.9,241.4,150.0,307.9,154.2,15.4,0.0
SILCHAR,Assam,CACHAR,0.0,28.0,74.4,223.0,352.7,463.9,617.5,283.2,324.8,548.5,1.0,1.7
AROGYAVARAM,Andhra Pradesh,CHITTOOR,45.6,43.0,0.0,5.6,72.8,123.0,244.4,94.0,0.0,1018.8,0.0,0.0
HAVERI E.E.O,Karnataka,HAVERI,0.0,0.0,2.6,19.0,4.2,86.2,158.4,374.0,121.6,576.4,9.4,0.2
MYSORE,Karnataka,MYSORE,0.0,1.0,0.0,31.5,220.8,39.0,59.2,176.4,173.9,166.6,93.6,5.6
KANNUR (CANNAORE),Kerala,KANNUR,0.0,0.0,0.0,15.2,48.9,617.0,1173.6,926.1,481.3,515.4,143.8,74.6
KANYAKUMARI,Tamil Nadu,KANYAKUMARI,0.0,2.0,0.0,34.0,4.3,94.0,79.7,114.5,152.4,335.4,174.9,124.2
HAMIRPUR,Uttar Pradesh,HAMIRPUR,18.0,21.0,0.0,2.0,7.0,49.5,271.0,221.0,194.0,2.6,0.0,14.0
NALIYA,Gujarat,KUTCH,0.0,0.0,0.1,1.4,0.0,1.9,207.4,422.0,235.7,6.0,21.8,0.7
KALINGAPATNAM,Andhra Pradesh,SRIKAKULAM,0.0,0.0,2.2,19.0,130.5,72.5,126.5,121.3,299.5,275.7,0.0,2.4
SHAHJAHANPUR,Uttar Pradesh,SHAHJAHANPUR,2.6,20.0,9.8,6.2,2.6,53.0,484.4,140.0,167.2,0.0,12.0,82.2
TIRUCHIRAPALLI (A),Tamil Nadu,TIRUCHIRAPALLI,0.0,0.0,0.0,9.2,38.9,3.6,15.6,165.9,182.3,184.6,105.9,116.6
KARAIKAL,Puducherry,PUDUCHERRY,0.0,14.2,0.0,0.0,0.0,31.0,25.6,94.1,207.8,332.1,363.6,359.5
BAREILLY,Uttar Pradesh,BAREILLY,22.4,27.2,7.2,7.4,1.2,50.9,551.3,208.3,101.3,0.0,0.0,46.4
AMINI DIVI,Lakshadweep,LAKSHADWEEP,0.0,0.0,0.0,0.9,18.9,332.0,694.6,314.7,126.5,313.8,28.4,279.6
